key,width,height,avg_r,sd_r,avg_g,sd_g,avg_b,sd_b
LS21323_DJI_0002_clump_0013,178,176,126.16666666666667,7.65527977049463,126.12310606060606,9.026580918579317,131.56326608784474,37.443036667029325
LS21323_DJI_0002_clump_0014,230,400,115.33333333333333,12.04323932862625,108.82333333333334,14.00941786402593,110.22934782608695,16.525671978993106
LS21323_DJI_0002_clump_0015,110,194,119.88484848484849,15.013087648269389,125.75601374570446,12.579325887339106,123.25402999062793,24.970865782542408
LS21323_DJI_0002_clump_0016,290,256,117.25632183908046,25.005053287673835,133.31380208333334,14.353669577353,124.26837284482758,24.70345756075077
LS21323_DJI_0002_clump_0017,170,240,115.58823529411765,11.359674930774734,106.12638888888888,7.11019403266175,103.20799019607843,17.545387217937222
LS21323_DJI_0002_clump_0018,214,200,123.94392523364486,17.777001370843124,125.45,10.232831149458752,127.76077102803738,34.371192409193704
LS21323_DJI_0002_clump_0019,246,176,127.99186991869918,18.92009840364672,125.23484848484848,13.721449614472142,123.3132160014782,19.735855866567775
LS21323_DJI_0002_clump_0020,196,74,121.18537414965986,28.381056074565496,129.56756756756758,8.436964594020171,119.53171538885825,29.162311115740113
LS21323_DJI_0002_clump_0021,256,318,120.37109375,9.47070856265311,116.44863731656184,11.933866648974453,117.93590310534591,20.212694918023722
LS21323_DJI_0002_clump_0022,248,200,115.22849462365592,20.796930214240575,129.44166666666666,12.954790512479242,118.36262096774193,20.570601232487395
LS21323_DJI_0002_clump_0023,170,158,142.521568627451,12.619411031989959,139.66033755274262,10.191863465466774,143.09895755770663,26.93254512666205
LS21323_DJI_0003_clump_0001,248,246,117.69623655913979,15.59386034502582,135.0569105691057,14.087493240252863,127.11670600576973,28.23072366080348
LS21323_DJI_0003_clump_0002,196,172,125.23979591836735,25.346415865705,146.63178294573643,14.574723178703369,143.36518153773136,40.80792084820979
LS21323_DJI_0003_clump_0003,230,206,134.268115942029,17.501030965520936,138.66828478964402,17.781804014665727,146.3504854368932,30.02202154986897
LS21323_DJI_0003_clump_0004,170,198,143.3156862745098,13.433217133964709,148.26430976430976,8.39026044380152,153.7544266191325,33.460688124207884
LS21323_DJI_0003_clump_0005,162,240,128.28600823045267,14.540085421543298,141.5638888888889,18.89448262761995,142.92008744855968,36.950570611438074
LS21323_DJI_0003_clump_0006,170,126,108.06274509803922,15.934054796829285,125.95502645502646,37.47274972682479,129.2406629318394,42.34532703706648
LS21323_DJI_0003_clump_0007,162,262,132.1687242798354,23.668586455305928,141.91730279898218,31.95121170817753,134.8439119781359,32.61920098712894
LS21323_DJI_0003_clump_0008,332,120,134.08132530120483,11.435887843700515,135.93333333333334,8.640408940939466,139.23511546184739,38.052505034416576
LS21323_DJI_0003_clump_0009,238,170,125.34173669467788,11.661940794324682,137.9607843137255,13.396605927071384,134.06730103806228,22.32906273207997
